municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente,ano
ACEGUA,0,0,72,2,1,0,0,0,4,0,0,3,0,2008
"AGUA SANTA",0,0,31,4,0,4,0,0,3,0,1,5,0,2008
AGUDO,0,6,187,6,0,0,0,0,13,0,3,1,2,2008
AJURICABA,0,1,57,3,0,0,0,0,6,0,1,2,0,2008
ALECRIM,0,0,72,1,0,0,1,0,7,0,2,10,2,2008
ALEGRETE,6,25,1371,204,0,5,5,0,68,1,65,68,25,2008
ALEGRIA,0,0,34,0,0,0,0,0,0,0,0,3,0,2008
"ALMIRANTE TAMANDARE DO SUL",0,0,22,0,0,1,0,0,1,0,1,0,0,2008
ALPESTRE,4,0,82,2,0,0,0,0,9,0,0,12,1,2008
"ALTO ALEGRE",0,0,14,0,0,0,0,0,0,0,0,4,0,2008
"ALTO FELIZ",0,0,5,1,0,0,0,0,2,0,0,1,0,2008
ALVORADA,70,159,3037,2394,2,263,7,1,221,4,83,119,94,2008
"AMARAL FERRADOR",0,1,50,2,0,1,0,0,3,0,0,4,0,2008
"AMETISTA DO SUL",2,4,113,2,0,0,0,0,2,0,0,2,0,2008
"ANDRE DA ROCHA",1,0,21,1,0,0,0,0,1,0,0,2,0,2008
"ANTA GORDA",0,0,41,1,0,0,0,0,6,0,2,4,1,2008
"ANTONIO PRADO",0,4,171,5,0,2,1,0,9,0,5,3,4,2008
ARAMBARE,0,1,96,1,0,0,0,0,1,0,5,1,1,2008
ARARICA,1,6,49,3,0,2,0,0,7,0,4,1,0,2008
ARATIBA,3,3,36,2,0,0,1,0,3,0,0,0,0,2008
"ARROIO DO MEIO",1,6,265,13,0,6,0,0,22,0,13,1,6,2008
"ARROIO DO PADRE",0,1,5,0,0,0,0,0,0,0,0,1,0,2008
"ARROIO DO SAL",1,21,580,25,0,2,1,0,21,2,21,5,6,2008
"ARROIO DO TIGRE",0,6,168,4,0,0,0,0,15,2,0,13,0,2008
"ARROIO DOS RATOS",2,4,314,43,0,1,0,0,6,1,2,15,4,2008
"ARROIO GRANDE",0,5,255,6,0,1,0,0,14,0,1,8,3,2008
ARVOREZINHA,0,4,129,13,0,1,0,0,7,1,1,6,0,2008
"AUGUSTO PESTANA",0,2,65,2,0,0,1,0,3,0,3,3,1,2008
AUREA,0,1,13,0,0,0,0,0,1,0,0,1,0,2008
BAGE,10,76,2640,261,0,6,4,0,156,1,70,49,39,2008
"BALNEARIO PINHAL",5,7,633,83,0,6,0,0,15,0,14,6,8,2008
BARAO,0,2,37,4,0,0,1,0,4,1,0,2,0,2008
"BARAO DE COTEGIPE",0,0,72,6,0,0,0,0,2,0,0,2,0,2008
"BARAO DO TRIUNFO",1,2,73,4,0,1,0,0,2,0,1,13,2,2008
"BARRA DO GUARITA",1,2,8,0,0,0,0,0,1,0,0,11,0,2008
"BARRA DO QUARAI",0,0,60,2,0,0,0,0,3,0,3,5,6,2008
"BARRA DO RIBEIRO",3,4,177,25,0,8,0,0,6,2,3,11,2,2008
"BARRA DO RIO AZUL",0,0,11,0,0,0,0,0,1,0,0,2,0,2008
