Cidade;Descricao;Unidade;Valor
Água Santa.csv;Total de endereços urbanos;endereços;688
Água Santa.csv;Total de endereços rurais;endereços;837
Água Santa.csv;Total de estabelecimentos de ensino;estabelecimentos;10
Água Santa.csv;Total de estabelecimentos de saúde;estabelecimentos;8
Água Santa.csv;Domicílios particulares permanentes;domicílios;1165
Água Santa.csv;Domicílios particulares permanentes - abastecimento de água - Rede geral;domicílios;556
Água Santa.csv;Domicílios particulares permanentes - energia elétrica - Tinham;domicílios;1163
Água Santa.csv;População residente ;pessoas;3722
Água Santa.csv;População residente - Homens;pessoas;1879
Água Santa.csv;População residente - Mulheres;pessoas;1843
Água Santa.csv;População residente alfabetizada;pessoas;3277
Água Santa.csv;População residente - cor ou raça - Branca;pessoas;3085
Água Santa.csv;População residente - cor ou raça - Preta;pessoas;48
Água Santa.csv;População residente - cor ou raça - Parda;pessoas;344
Água Santa.csv;População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ;pessoas;64
Água Santa.csv;População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ;pessoas;13
Água Santa.csv;Área da unidade territorial;Km²;291.793
Água Santa.csv;Eleitorado;Eleitores;2857
Água Santa.csv;PIB per capita a preços correntes;Reais;22394.54
Água Santa.csv;Matrícula - Ensino fundamental - 2009;Matrículas;495
Água Santa.csv;Matrícula - Ensino médio - 2009;Matrículas;159
Água Santa.csv;Docentes - Ensino fundamental - 2009;Docentes;52
Água Santa.csv;Docentes - Ensino médio - 2009;Docentes;16
Água Santa.csv;Estabelecimentos de Saúde SUS;estabelecimentos;4
Água Santa.csv;Nascidos vivos -  registrados - lugar do registro;pessoas;26
Água Santa.csv;Receitas orçamentárias realizadas - Correntes;Reais;991567825
Água Santa.csv;Despesas orçamentárias empenhadas - Correntes;Reais;746630659
Água Santa.csv;Valor do Fundo de Participação dos Municípios  - FPM;Reais;399729862
Água Santa.csv;Número de unidades locais;Unidades;167
Água Santa.csv;Pessoal ocupado total;Pessoas;551
Áurea.csv;Total de endereços urbanos;endereços;743
Áurea.csv;Total de endereços rurais;endereços;848
Áurea.csv;Total de estabelecimentos de ensino;estabelecimentos;9
Áurea.csv;Total de estabelecimentos de saúde;estabelecimentos;3
Áurea.csv;Domicílios particulares permanentes;domicílios;1218
Áurea.csv;Domicílios particulares permanentes - abastecimento de água - Rede geral;domicílios;437
Áurea.csv;Domicílios particulares permanentes - energia elétrica - Tinham;domicílios;1216
Áurea.csv;População residente ;pessoas;3665
Áurea.csv;População residente - Homens;pessoas;1807
Áurea.csv;População residente - Mulheres;pessoas;1858
Áurea.csv;População residente alfabetizada;pessoas;3312
Áurea.csv;População residente - cor ou raça - Branca;pessoas;3400
Áurea.csv;População residente - cor ou raça - Preta;pessoas;47
Áurea.csv;População residente - cor ou raça - Parda;pessoas;206
Áurea.csv;População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ;pessoas;71
Áurea.csv;População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ;pessoas;
Áurea.csv;Área da unidade territorial;Km²;158.291
Áurea.csv;Eleitorado;Eleitores;2902
Áurea.csv;PIB per capita a preços correntes;Reais;12200.41
Áurea.csv;Matrícula - Ensino fundamental - 2009;Matrículas;464
Áurea.csv;Matrícula - Ensino médio - 2009;Matrículas;155
Áurea.csv;Docentes - Ensino fundamental - 2009;Docentes;38
Áurea.csv;Docentes - Ensino médio - 2009;Docentes;15
Áurea.csv;Estabelecimentos de Saúde SUS;estabelecimentos;1
Áurea.csv;Nascidos vivos -  registrados - lugar do registro;pessoas;15
Áurea.csv;Receitas orçamentárias realizadas - Correntes;Reais;808067722
