AGUDO  código:430010

Descrição,Valor,Unidade
Total de endereços urbanos,3114,endereços
Total de endereços rurais,3907,endereços
Total de estabelecimentos de ensino,13,estabelecimentos
Total de estabelecimentos de saúde,19,estabelecimentos
Domicílios particulares permanentes,5425,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2600,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,5390,domicílios
População residente ,16722,pessoas
População residente - Homens,8349,pessoas
População residente - Mulheres,8373,pessoas
População residente alfabetizada,14658,pessoas
População residente - cor ou raça - Branca,14593,pessoas
População residente - cor ou raça - Preta,517,pessoas
População residente - cor ou raça - Parda,1534,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,378,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,23,pessoas
Área da unidade territorial,536.117,Km²
Eleitorado,12591,Eleitores
PIB per capita a preços correntes,14242.02,Reais
Matrícula - Ensino fundamental - 2009,2348,Matrículas
Matrícula - Ensino médio - 2009,485,Matrículas
Docentes - Ensino fundamental - 2009,163,Docentes
Docentes - Ensino médio - 2009,47,Docentes
Estabelecimentos de Saúde SUS,7,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,143,pessoas
Receitas orçamentárias realizadas - Correntes,2397307580,Reais
Despesas orçamentárias empenhadas - Correntes,1674377303,Reais
Valor do Fundo de Participação dos Municípios  - FPM,838091273,Reais
Número de unidades locais,567,Unidades
Pessoal ocupado total,2331,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

