AJURICABA  código:430020

Descrição,Valor,Unidade
Total de endereços urbanos,1913,endereços
Total de endereços rurais,1277,endereços
Total de estabelecimentos de ensino,18,estabelecimentos
Total de estabelecimentos de saúde,13,estabelecimentos
Domicílios particulares permanentes,2456,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2076,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2448,domicílios
População residente ,7255,pessoas
População residente - Homens,3585,pessoas
População residente - Mulheres,3670,pessoas
População residente alfabetizada,6417,pessoas
População residente - cor ou raça - Branca,6229,pessoas
População residente - cor ou raça - Preta,120,pessoas
População residente - cor ou raça - Parda,868,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,161,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,20,pessoas
Área da unidade territorial,323.240,Km²
Eleitorado,5811,Eleitores
PIB per capita a preços correntes,17268.43,Reais
Matrícula - Ensino fundamental - 2009,852,Matrículas
Matrícula - Ensino médio - 2009,212,Matrículas
Docentes - Ensino fundamental - 2009,76,Docentes
Docentes - Ensino médio - 2009,24,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,82,pessoas
Receitas orçamentárias realizadas - Correntes,1221180086,Reais
Despesas orçamentárias empenhadas - Correntes,958394368,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398932448,Reais
Número de unidades locais,331,Unidades
Pessoal ocupado total,1314,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

