ALECRIM  código:430030

Descrição,Valor,Unidade
Total de endereços urbanos,1021,endereços
Total de endereços rurais,2391,endereços
Total de estabelecimentos de ensino,29,estabelecimentos
Total de estabelecimentos de saúde,8,estabelecimentos
Domicílios particulares permanentes,2471,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1915,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2440,domicílios
População residente ,7045,pessoas
População residente - Homens,3512,pessoas
População residente - Mulheres,3533,pessoas
População residente alfabetizada,6204,pessoas
População residente - cor ou raça - Branca,5849,pessoas
População residente - cor ou raça - Preta,104,pessoas
População residente - cor ou raça - Parda,1071,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,441,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,314.744,Km²
Eleitorado,6014,Eleitores
PIB per capita a preços correntes,8824.20,Reais
Matrícula - Ensino fundamental - 2009,993,Matrículas
Matrícula - Ensino médio - 2009,285,Matrículas
Docentes - Ensino fundamental - 2009,65,Docentes
Docentes - Ensino médio - 2009,18,Docentes
Estabelecimentos de Saúde SUS,7,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,69,pessoas
Receitas orçamentárias realizadas - Correntes,1038247829,Reais
Despesas orçamentárias empenhadas - Correntes,801531447,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,174,Unidades
Pessoal ocupado total,625,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

