ALEGRETE  código:430040

Descrição,Valor,Unidade
Total de endereços urbanos,28527,endereços
Total de endereços rurais,4316,endereços
Total de estabelecimentos de ensino,84,estabelecimentos
Total de estabelecimentos de saúde,106,estabelecimentos
Domicílios particulares permanentes,25921,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,22152,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,25701,domicílios
População residente ,77653,pessoas
População residente - Homens,38051,pessoas
População residente - Mulheres,39602,pessoas
População residente alfabetizada,68277,pessoas
População residente - cor ou raça - Branca,55865,pessoas
População residente - cor ou raça - Preta,5361,pessoas
População residente - cor ou raça - Parda,15919,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,1846,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,77,pessoas
Área da unidade territorial,7803.990,Km²
Eleitorado,60463,Eleitores
PIB per capita a preços correntes,12851.75,Reais
Matrícula - Ensino fundamental - 2009,12041,Matrículas
Matrícula - Ensino médio - 2009,3989,Matrículas
Docentes - Ensino fundamental - 2009,684,Docentes
Docentes - Ensino médio - 2009,293,Docentes
Estabelecimentos de Saúde SUS,27,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,1001,pessoas
Receitas orçamentárias realizadas - Correntes,9416685319,Reais
Despesas orçamentárias empenhadas - Correntes,7994831325,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1728642861,Reais
Número de unidades locais,2581,Unidades
Pessoal ocupado total,12245,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

