ALMIRANTE TAMANDARÃ© DO SUL  código:430047

Descrição,Valor,Unidade
Total de endereços urbanos,423,endereços
Total de endereços rurais,529,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,728,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,382,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,727,domicílios
População residente ,2067,pessoas
População residente - Homens,1041,pessoas
População residente - Mulheres,1026,pessoas
População residente alfabetizada,1869,pessoas
População residente - cor ou raça - Branca,1920,pessoas
População residente - cor ou raça - Preta,47,pessoas
População residente - cor ou raça - Parda,97,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,30,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,265.369,Km²
Eleitorado,1846,Eleitores
PIB per capita a preços correntes,28813.59,Reais
Matrícula - Ensino fundamental - 2009,245,Matrículas
Matrícula - Ensino médio - 2009,67,Matrículas
Docentes - Ensino fundamental - 2009,26,Docentes
Docentes - Ensino médio - 2009,9,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,787217506,Reais
Despesas orçamentárias empenhadas - Correntes,597804500,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,91,Unidades
Pessoal ocupado total,290,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

