ALTO FELIZ  código:430057

Descrição,Valor,Unidade
Total de endereços urbanos,456,endereços
Total de endereços rurais,933,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,999,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,585,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,999,domicílios
População residente ,2917,pessoas
População residente - Homens,1500,pessoas
População residente - Mulheres,1417,pessoas
População residente alfabetizada,2689,pessoas
População residente - cor ou raça - Branca,2802,pessoas
População residente - cor ou raça - Preta,34,pessoas
População residente - cor ou raça - Parda,69,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,26,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,79.173,Km²
Eleitorado,2100,Eleitores
PIB per capita a preços correntes,8079.79,Reais
Matrícula - Ensino fundamental - 2009,322,Matrículas
Matrícula - Ensino médio - 2009,81,Matrículas
Docentes - Ensino fundamental - 2009,19,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,827590366,Reais
Despesas orçamentárias empenhadas - Correntes,594929987,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,99,Unidades
Pessoal ocupado total,631,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

