ALVORADA  código:430060

Descrição,Valor,Unidade
Total de endereços urbanos,72336,endereços
Total de endereços rurais,0,endereços
Total de estabelecimentos de ensino,68,estabelecimentos
Total de estabelecimentos de saúde,56,estabelecimentos
Domicílios particulares permanentes,60211,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,58403,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,60051,domicílios
População residente ,195673,pessoas
População residente - Homens,95080,pessoas
População residente - Mulheres,100593,pessoas
População residente alfabetizada,168928,pessoas
População residente - cor ou raça - Branca,143812,pessoas
População residente - cor ou raça - Preta,24982,pessoas
População residente - cor ou raça - Parda,26003,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,1531,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,28,pessoas
Área da unidade territorial,71.311,Km²
Eleitorado,124001,Eleitores
PIB per capita a preços correntes,5149.65,Reais
Matrícula - Ensino fundamental - 2009,35915,Matrículas
Matrícula - Ensino médio - 2009,7365,Matrículas
Docentes - Ensino fundamental - 2009,1240,Docentes
Docentes - Ensino médio - 2009,358,Docentes
Estabelecimentos de Saúde SUS,25,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,2661,pessoas
Receitas orçamentárias realizadas - Correntes,15284939502,Reais
Despesas orçamentárias empenhadas - Correntes,12510497825,Reais
Valor do Fundo de Participação dos Municípios  - FPM,3614220766,Reais
Número de unidades locais,3371,Unidades
Pessoal ocupado total,18376,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

