AMARAL FERRADOR  código:430063

Descrição,Valor,Unidade
Total de endereços urbanos,989,endereços
Total de endereços rurais,1860,endereços
Total de estabelecimentos de ensino,17,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,2094,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1376,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2055,domicílios
População residente ,6353,pessoas
População residente - Homens,3281,pessoas
População residente - Mulheres,3072,pessoas
População residente alfabetizada,5109,pessoas
População residente - cor ou raça - Branca,5072,pessoas
População residente - cor ou raça - Preta,857,pessoas
População residente - cor ou raça - Parda,372,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,191,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,506.459,Km²
Eleitorado,4385,Eleitores
PIB per capita a preços correntes,7614.05,Reais
Matrícula - Ensino fundamental - 2009,973,Matrículas
Matrícula - Ensino médio - 2009,282,Matrículas
Docentes - Ensino fundamental - 2009,80,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,29,pessoas
Receitas orçamentárias realizadas - Correntes,971766051,Reais
Despesas orçamentárias empenhadas - Correntes,846441513,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,178,Unidades
Pessoal ocupado total,504,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

