AMETISTA DO SUL  código:430064

Descrição,Valor,Unidade
Total de endereços urbanos,1982,endereços
Total de endereços rurais,1846,endereços
Total de estabelecimentos de ensino,12,estabelecimentos
Total de estabelecimentos de saúde,9,estabelecimentos
Domicílios particulares permanentes,2391,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1518,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2376,domicílios
População residente ,7323,pessoas
População residente - Homens,3732,pessoas
População residente - Mulheres,3591,pessoas
População residente alfabetizada,5986,pessoas
População residente - cor ou raça - Branca,5122,pessoas
População residente - cor ou raça - Preta,115,pessoas
População residente - cor ou raça - Parda,2064,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,372,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,7,pessoas
Área da unidade territorial,93.490,Km²
Eleitorado,5843,Eleitores
PIB per capita a preços correntes,5957.18,Reais
Matrícula - Ensino fundamental - 2009,1295,Matrículas
Matrícula - Ensino médio - 2009,352,Matrículas
Docentes - Ensino fundamental - 2009,77,Docentes
Docentes - Ensino médio - 2009,26,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,75,pessoas
Receitas orçamentárias realizadas - Correntes,1202809000,Reais
Despesas orçamentárias empenhadas - Correntes,908265500,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917600,Reais
Número de unidades locais,253,Unidades
Pessoal ocupado total,826,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

