ANDRÃ© DA ROCHA  código:430066

Descrição,Valor,Unidade
Total de endereços urbanos,242,endereços
Total de endereços rurais,413,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,425,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,309,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,423,domicílios
População residente ,1216,pessoas
População residente - Homens,620,pessoas
População residente - Mulheres,596,pessoas
População residente alfabetizada,1065,pessoas
População residente - cor ou raça - Branca,987,pessoas
População residente - cor ou raça - Preta,54,pessoas
População residente - cor ou raça - Parda,154,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,29,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,324.327,Km²
Eleitorado,1234,Eleitores
PIB per capita a preços correntes,30266.45,Reais
Matrícula - Ensino fundamental - 2009,175,Matrículas
Matrícula - Ensino médio - 2009,32,Matrículas
Docentes - Ensino fundamental - 2009,17,Docentes
Docentes - Ensino médio - 2009,10,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,6,pessoas
Receitas orçamentárias realizadas - Correntes,658472105,Reais
Despesas orçamentárias empenhadas - Correntes,445438732,Reais
Valor do Fundo de Participação dos Municípios  - FPM,382222939,Reais
Número de unidades locais,57,Unidades
Pessoal ocupado total,230,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

