ANTA GORDA  código:430070

Descrição,Valor,Unidade
Total de endereços urbanos,1122,endereços
Total de endereços rurais,1416,endereços
Total de estabelecimentos de ensino,7,estabelecimentos
Total de estabelecimentos de saúde,12,estabelecimentos
Domicílios particulares permanentes,1929,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1668,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1929,domicílios
População residente ,6073,pessoas
População residente - Homens,3025,pessoas
População residente - Mulheres,3048,pessoas
População residente alfabetizada,5445,pessoas
População residente - cor ou raça - Branca,5828,pessoas
População residente - cor ou raça - Preta,56,pessoas
População residente - cor ou raça - Parda,186,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,56,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,242.965,Km²
Eleitorado,5036,Eleitores
PIB per capita a preços correntes,14989.48,Reais
Matrícula - Ensino fundamental - 2009,695,Matrículas
Matrícula - Ensino médio - 2009,241,Matrículas
Docentes - Ensino fundamental - 2009,58,Docentes
Docentes - Ensino médio - 2009,26,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,42,pessoas
Receitas orçamentárias realizadas - Correntes,1130552078,Reais
Despesas orçamentárias empenhadas - Correntes,904516154,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,206,Unidades
Pessoal ocupado total,1185,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

