ARAMBARÃ©  código:430085

Descrição,Valor,Unidade
Total de endereços urbanos,3656,endereços
Total de endereços rurais,593,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,1331,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1028,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1328,domicílios
População residente ,3693,pessoas
População residente - Homens,1854,pessoas
População residente - Mulheres,1839,pessoas
População residente alfabetizada,3226,pessoas
População residente - cor ou raça - Branca,3086,pessoas
População residente - cor ou raça - Preta,449,pessoas
População residente - cor ou raça - Parda,155,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,85,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,519.126,Km²
Eleitorado,2905,Eleitores
PIB per capita a preços correntes,15844.39,Reais
Matrícula - Ensino fundamental - 2009,638,Matrículas
Matrícula - Ensino médio - 2009,195,Matrículas
Docentes - Ensino fundamental - 2009,41,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,938752338,Reais
Despesas orçamentárias empenhadas - Correntes,796084361,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398385879,Reais
Número de unidades locais,182,Unidades
Pessoal ocupado total,488,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

