ARROIO DO MEIO  código:430100

Descrição,Valor,Unidade
Total de endereços urbanos,6466,endereços
Total de endereços rurais,1719,endereços
Total de estabelecimentos de ensino,28,estabelecimentos
Total de estabelecimentos de saúde,29,estabelecimentos
Domicílios particulares permanentes,6240,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,5828,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,6233,domicílios
População residente ,18783,pessoas
População residente - Homens,9353,pessoas
População residente - Mulheres,9430,pessoas
População residente alfabetizada,17373,pessoas
População residente - cor ou raça - Branca,17356,pessoas
População residente - cor ou raça - Preta,307,pessoas
População residente - cor ou raça - Parda,1092,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,82,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,19,pessoas
Área da unidade territorial,157.957,Km²
Eleitorado,14208,Eleitores
PIB per capita a preços correntes,24374.98,Reais
Matrícula - Ensino fundamental - 2009,2247,Matrículas
Matrícula - Ensino médio - 2009,764,Matrículas
Docentes - Ensino fundamental - 2009,165,Docentes
Docentes - Ensino médio - 2009,46,Docentes
Estabelecimentos de Saúde SUS,9,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,237,pessoas
Receitas orçamentárias realizadas - Correntes,3248621080,Reais
Despesas orçamentárias empenhadas - Correntes,2448025364,Reais
Valor do Fundo de Participação dos Municípios  - FPM,797835124,Reais
Número de unidades locais,1125,Unidades
Pessoal ocupado total,6569,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

