ARROIO DO SAL  código:430105

Descrição,Valor,Unidade
Total de endereços urbanos,13394,endereços
Total de endereços rurais,197,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,10,estabelecimentos
Domicílios particulares permanentes,2756,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1240,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2748,domicílios
População residente ,7740,pessoas
População residente - Homens,3833,pessoas
População residente - Mulheres,3907,pessoas
População residente alfabetizada,6829,pessoas
População residente - cor ou raça - Branca,7016,pessoas
População residente - cor ou raça - Preta,195,pessoas
População residente - cor ou raça - Parda,519,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,125,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,120.912,Km²
Eleitorado,4960,Eleitores
PIB per capita a preços correntes,10503.82,Reais
Matrícula - Ensino fundamental - 2009,1115,Matrículas
Matrícula - Ensino médio - 2009,331,Matrículas
Docentes - Ensino fundamental - 2009,74,Docentes
Docentes - Ensino médio - 2009,17,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,70,pessoas
Receitas orçamentárias realizadas - Correntes,1817146566,Reais
Despesas orçamentárias empenhadas - Correntes,1528636950,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,574,Unidades
Pessoal ocupado total,1979,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

