ARROIO DO TIGRE  código:430120

Descrição,Valor,Unidade
Total de endereços urbanos,2670,endereços
Total de endereços rurais,2245,endereços
Total de estabelecimentos de ensino,28,estabelecimentos
Total de estabelecimentos de saúde,14,estabelecimentos
Domicílios particulares permanentes,3944,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2899,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3923,domicílios
População residente ,12648,pessoas
População residente - Homens,6384,pessoas
População residente - Mulheres,6264,pessoas
População residente alfabetizada,10918,pessoas
População residente - cor ou raça - Branca,10847,pessoas
População residente - cor ou raça - Preta,448,pessoas
População residente - cor ou raça - Parda,1237,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,425,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,7,pessoas
Área da unidade territorial,318.236,Km²
Eleitorado,9796,Eleitores
PIB per capita a preços correntes,15187.33,Reais
Matrícula - Ensino fundamental - 2009,1918,Matrículas
Matrícula - Ensino médio - 2009,456,Matrículas
Docentes - Ensino fundamental - 2009,146,Docentes
Docentes - Ensino médio - 2009,46,Docentes
Estabelecimentos de Saúde SUS,11,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,182,pessoas
Receitas orçamentárias realizadas - Correntes,1659190748,Reais
Despesas orçamentárias empenhadas - Correntes,1329104104,Reais
Valor do Fundo de Participação dos Municípios  - FPM,531890081,Reais
Número de unidades locais,488,Unidades
Pessoal ocupado total,1932,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

