ARROIO DOS RATOS  código:430110

Descrição,Valor,Unidade
Total de endereços urbanos,5763,endereços
Total de endereços rurais,505,endereços
Total de estabelecimentos de ensino,10,estabelecimentos
Total de estabelecimentos de saúde,16,estabelecimentos
Domicílios particulares permanentes,4608,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,4334,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,4583,domicílios
População residente ,13606,pessoas
População residente - Homens,6635,pessoas
População residente - Mulheres,6971,pessoas
População residente alfabetizada,11750,pessoas
População residente - cor ou raça - Branca,11598,pessoas
População residente - cor ou raça - Preta,833,pessoas
População residente - cor ou raça - Parda,1108,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,286,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,425.934,Km²
Eleitorado,10111,Eleitores
PIB per capita a preços correntes,9993.40,Reais
Matrícula - Ensino fundamental - 2009,2175,Matrículas
Matrícula - Ensino médio - 2009,462,Matrículas
Docentes - Ensino fundamental - 2009,141,Docentes
Docentes - Ensino médio - 2009,38,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,167,pessoas
Receitas orçamentárias realizadas - Correntes,1856009281,Reais
Despesas orçamentárias empenhadas - Correntes,1507242724,Reais
Valor do Fundo de Participação dos Municípios  - FPM,664862595,Reais
Número de unidades locais,453,Unidades
Pessoal ocupado total,2264,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

