ARVOREZINHA  código:430140

Descrição,Valor,Unidade
Total de endereços urbanos,2954,endereços
Total de endereços rurais,1540,endereços
Total de estabelecimentos de ensino,29,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,3211,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2222,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3205,domicílios
População residente ,10225,pessoas
População residente - Homens,5134,pessoas
População residente - Mulheres,5091,pessoas
População residente alfabetizada,8800,pessoas
População residente - cor ou raça - Branca,8745,pessoas
População residente - cor ou raça - Preta,283,pessoas
População residente - cor ou raça - Parda,1173,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,202,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,6,pessoas
Área da unidade territorial,271.643,Km²
Eleitorado,7877,Eleitores
PIB per capita a preços correntes,10241.28,Reais
Matrícula - Ensino fundamental - 2009,1493,Matrículas
Matrícula - Ensino médio - 2009,536,Matrículas
Docentes - Ensino fundamental - 2009,100,Docentes
Docentes - Ensino médio - 2009,28,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,147,pessoas
Receitas orçamentárias realizadas - Correntes,1219579298,Reais
Despesas orçamentárias empenhadas - Correntes,1009223805,Reais
Valor do Fundo de Participação dos Municípios  - FPM,430051188,Reais
Número de unidades locais,615,Unidades
Pessoal ocupado total,1800,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

