BARRA FUNDA  código:430195

Descrição,Valor,Unidade
Total de endereços urbanos,655,endereços
Total de endereços rurais,310,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,718,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,653,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,717,domicílios
População residente ,2367,pessoas
População residente - Homens,1177,pessoas
População residente - Mulheres,1190,pessoas
População residente alfabetizada,2119,pessoas
População residente - cor ou raça - Branca,2050,pessoas
População residente - cor ou raça - Preta,122,pessoas
População residente - cor ou raça - Parda,187,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,36,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,60.033,Km²
Eleitorado,2055,Eleitores
PIB per capita a preços correntes,24012.12,Reais
Matrícula - Ensino fundamental - 2009,323,Matrículas
Matrícula - Ensino médio - 2009,153,Matrículas
Docentes - Ensino fundamental - 2009,27,Docentes
Docentes - Ensino médio - 2009,13,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,932910627,Reais
Despesas orçamentárias empenhadas - Correntes,652627949,Reais
Valor do Fundo de Participação dos Municípios  - FPM,389996391,Reais
Número de unidades locais,124,Unidades
Pessoal ocupado total,926,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

