BARRA DO QUARAÃ­  código:430187

Descrição,Valor,Unidade
Total de endereços urbanos,1127,endereços
Total de endereços rurais,615,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,1212,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,820,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1197,domicílios
População residente ,4012,pessoas
População residente - Homens,2128,pessoas
População residente - Mulheres,1884,pessoas
População residente alfabetizada,3336,pessoas
População residente - cor ou raça - Branca,2613,pessoas
População residente - cor ou raça - Preta,305,pessoas
População residente - cor ou raça - Parda,1079,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,85,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,1056.149,Km²
Eleitorado,3134,Eleitores
PIB per capita a preços correntes,25523.14,Reais
Matrícula - Ensino fundamental - 2009,676,Matrículas
Matrícula - Ensino médio - 2009,133,Matrículas
Docentes - Ensino fundamental - 2009,47,Docentes
Docentes - Ensino médio - 2009,13,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,42,pessoas
Receitas orçamentárias realizadas - Correntes,1219728869,Reais
Despesas orçamentárias empenhadas - Correntes,873005230,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,120,Unidades
Pessoal ocupado total,524,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

