BARRA DO RIBEIRO  código:430190

Descrição,Valor,Unidade
Total de endereços urbanos,4223,endereços
Total de endereços rurais,1859,endereços
Total de estabelecimentos de ensino,9,estabelecimentos
Total de estabelecimentos de saúde,13,estabelecimentos
Domicílios particulares permanentes,4261,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,3157,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,4222,domicílios
População residente ,12572,pessoas
População residente - Homens,6253,pessoas
População residente - Mulheres,6319,pessoas
População residente alfabetizada,10766,pessoas
População residente - cor ou raça - Branca,10670,pessoas
População residente - cor ou raça - Preta,812,pessoas
População residente - cor ou raça - Parda,876,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,257,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,6,pessoas
Área da unidade territorial,728.950,Km²
Eleitorado,9380,Eleitores
PIB per capita a preços correntes,10980.87,Reais
Matrícula - Ensino fundamental - 2009,1987,Matrículas
Matrícula - Ensino médio - 2009,370,Matrículas
Docentes - Ensino fundamental - 2009,112,Docentes
Docentes - Ensino médio - 2009,31,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,112,pessoas
Receitas orçamentárias realizadas - Correntes,1718618588,Reais
Despesas orçamentárias empenhadas - Correntes,1280110522,Reais
Valor do Fundo de Participação dos Municípios  - FPM,507960708,Reais
Número de unidades locais,373,Unidades
Pessoal ocupado total,2134,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

