BARRA DO RIO AZUL  código:430192

Descrição,Valor,Unidade
Total de endereços urbanos,212,endereços
Total de endereços rurais,566,endereços
Total de estabelecimentos de ensino,2,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,620,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,174,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,620,domicílios
População residente ,2003,pessoas
População residente - Homens,1049,pessoas
População residente - Mulheres,954,pessoas
População residente alfabetizada,1777,pessoas
População residente - cor ou raça - Branca,1886,pessoas
População residente - cor ou raça - Preta,39,pessoas
População residente - cor ou raça - Parda,75,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,56,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,147.029,Km²
Eleitorado,1765,Eleitores
PIB per capita a preços correntes,16103.10,Reais
Matrícula - Ensino fundamental - 2009,231,Matrículas
Matrícula - Ensino médio - 2009,70,Matrículas
Docentes - Ensino fundamental - 2009,26,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,736692027,Reais
Despesas orçamentárias empenhadas - Correntes,532360292,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398968100,Reais
Número de unidades locais,41,Unidades
Pessoal ocupado total,129,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

