BARRACÃ£O  código:430180

Descrição,Valor,Unidade
Total de endereços urbanos,1420,endereços
Total de endereços rurais,1031,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,1814,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1174,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1810,domicílios
População residente ,5357,pessoas
População residente - Homens,2691,pessoas
População residente - Mulheres,2666,pessoas
População residente alfabetizada,4601,pessoas
População residente - cor ou raça - Branca,4287,pessoas
População residente - cor ou raça - Preta,219,pessoas
População residente - cor ou raça - Parda,797,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,215,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,8,pessoas
Área da unidade territorial,516.291,Km²
Eleitorado,3778,Eleitores
PIB per capita a preços correntes,19117.29,Reais
Matrícula - Ensino fundamental - 2009,867,Matrículas
Matrícula - Ensino médio - 2009,169,Matrículas
Docentes - Ensino fundamental - 2009,57,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,53,pessoas
Receitas orçamentárias realizadas - Correntes,1156943613,Reais
Despesas orçamentárias empenhadas - Correntes,929778068,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,197,Unidades
Pessoal ocupado total,711,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

