BARROS CASSAL  código:430200

Descrição,Valor,Unidade
Total de endereços urbanos,1678,endereços
Total de endereços rurais,2997,endereços
Total de estabelecimentos de ensino,30,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,3565,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1191,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3502,domicílios
População residente ,11133,pessoas
População residente - Homens,5729,pessoas
População residente - Mulheres,5404,pessoas
População residente alfabetizada,8778,pessoas
População residente - cor ou raça - Branca,8158,pessoas
População residente - cor ou raça - Preta,149,pessoas
População residente - cor ou raça - Parda,2784,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,523,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,6,pessoas
Área da unidade territorial,648.898,Km²
Eleitorado,8638,Eleitores
PIB per capita a preços correntes,8381.93,Reais
Matrícula - Ensino fundamental - 2009,1886,Matrículas
Matrícula - Ensino médio - 2009,436,Matrículas
Docentes - Ensino fundamental - 2009,137,Docentes
Docentes - Ensino médio - 2009,30,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,114,pessoas
Receitas orçamentárias realizadas - Correntes,1569270392,Reais
Despesas orçamentárias empenhadas - Correntes,1310234761,Reais
Valor do Fundo de Participação dos Municípios  - FPM,531892025,Reais
Número de unidades locais,349,Unidades
Pessoal ocupado total,1166,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

