BARÃ£O DE COTEGIPE  código:430170

Descrição,Valor,Unidade
Total de endereços urbanos,1803,endereços
Total de endereços rurais,922,endereços
Total de estabelecimentos de ensino,15,estabelecimentos
Total de estabelecimentos de saúde,14,estabelecimentos
Domicílios particulares permanentes,2096,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1471,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2090,domicílios
População residente ,6529,pessoas
População residente - Homens,3296,pessoas
População residente - Mulheres,3233,pessoas
População residente alfabetizada,5919,pessoas
População residente - cor ou raça - Branca,5824,pessoas
População residente - cor ou raça - Preta,96,pessoas
População residente - cor ou raça - Parda,544,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,145,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,260.131,Km²
Eleitorado,5070,Eleitores
PIB per capita a preços correntes,13636.60,Reais
Matrícula - Ensino fundamental - 2009,881,Matrículas
Matrícula - Ensino médio - 2009,188,Matrículas
Docentes - Ensino fundamental - 2009,71,Docentes
Docentes - Ensino médio - 2009,19,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,40,pessoas
Receitas orçamentárias realizadas - Correntes,983131900,Reais
Despesas orçamentárias empenhadas - Correntes,754308900,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917600,Reais
Número de unidades locais,370,Unidades
Pessoal ocupado total,1287,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

