BARÃ£O DO TRIUNFO  código:430175

Descrição,Valor,Unidade
Total de endereços urbanos,461,endereços
Total de endereços rurais,2685,endereços
Total de estabelecimentos de ensino,14,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,2354,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,237,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2320,domicílios
População residente ,7018,pessoas
População residente - Homens,3741,pessoas
População residente - Mulheres,3277,pessoas
População residente alfabetizada,5829,pessoas
População residente - cor ou raça - Branca,6244,pessoas
População residente - cor ou raça - Preta,224,pessoas
População residente - cor ou raça - Parda,501,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,332,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,436.397,Km²
Eleitorado,4636,Eleitores
PIB per capita a preços correntes,8522.33,Reais
Matrícula - Ensino fundamental - 2009,1066,Matrículas
Matrícula - Ensino médio - 2009,262,Matrículas
Docentes - Ensino fundamental - 2009,57,Docentes
Docentes - Ensino médio - 2009,13,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,69,pessoas
Receitas orçamentárias realizadas - Correntes,1043399248,Reais
Despesas orçamentárias empenhadas - Correntes,799513718,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,182,Unidades
Pessoal ocupado total,467,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

