BENTO GONÃ§ALVES  código:430210

Descrição,Valor,Unidade
Total de endereços urbanos,41389,endereços
Total de endereços rurais,3800,endereços
Total de estabelecimentos de ensino,96,estabelecimentos
Total de estabelecimentos de saúde,83,estabelecimentos
Domicílios particulares permanentes,36513,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,34235,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,36488,domicílios
População residente ,107278,pessoas
População residente - Homens,52645,pessoas
População residente - Mulheres,54633,pessoas
População residente alfabetizada,98507,pessoas
População residente - cor ou raça - Branca,93781,pessoas
População residente - cor ou raça - Preta,2205,pessoas
População residente - cor ou raça - Parda,10962,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,334,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,133,pessoas
Área da unidade territorial,381.960,Km²
Eleitorado,73309,Eleitores
PIB per capita a preços correntes,22705.82,Reais
Matrícula - Ensino fundamental - 2009,12833,Matrículas
Matrícula - Ensino médio - 2009,3626,Matrículas
Docentes - Ensino fundamental - 2009,686,Docentes
Docentes - Ensino médio - 2009,263,Docentes
Estabelecimentos de Saúde SUS,39,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,1325,pessoas
Receitas orçamentárias realizadas - Correntes,18327017211,Reais
Despesas orçamentárias empenhadas - Correntes,14040675240,Reais
Valor do Fundo de Participação dos Municípios  - FPM,2127560319,Reais
Número de unidades locais,7250,Unidades
Pessoal ocupado total,45187,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

