BOA VISTA DAS MISSÃµES  código:430215

Descrição,Valor,Unidade
Total de endereços urbanos,401,endereços
Total de endereços rurais,503,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,703,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,630,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,699,domicílios
População residente ,2114,pessoas
População residente - Homens,1056,pessoas
População residente - Mulheres,1058,pessoas
População residente alfabetizada,1809,pessoas
População residente - cor ou raça - Branca,1631,pessoas
População residente - cor ou raça - Preta,25,pessoas
População residente - cor ou raça - Parda,450,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,67,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,194.816,Km²
Eleitorado,1657,Eleitores
PIB per capita a preços correntes,27090.08,Reais
Matrícula - Ensino fundamental - 2009,424,Matrículas
Matrícula - Ensino médio - 2009,52,Matrículas
Docentes - Ensino fundamental - 2009,33,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,798704715,Reais
Despesas orçamentárias empenhadas - Correntes,612022493,Reais
Valor do Fundo de Participação dos Municípios  - FPM,375190678,Reais
Número de unidades locais,103,Unidades
Pessoal ocupado total,391,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

