BOA VISTA DO BURICÃ¡  código:430220

Descrição,Valor,Unidade
Total de endereços urbanos,1978,endereços
Total de endereços rurais,860,endereços
Total de estabelecimentos de ensino,7,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,2225,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2170,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2218,domicílios
População residente ,6574,pessoas
População residente - Homens,3295,pessoas
População residente - Mulheres,3279,pessoas
População residente alfabetizada,6117,pessoas
População residente - cor ou raça - Branca,5935,pessoas
População residente - cor ou raça - Preta,321,pessoas
População residente - cor ou raça - Parda,318,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,57,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,12,pessoas
Área da unidade territorial,108.733,Km²
Eleitorado,5263,Eleitores
PIB per capita a preços correntes,13369.74,Reais
Matrícula - Ensino fundamental - 2009,855,Matrículas
Matrícula - Ensino médio - 2009,273,Matrículas
Docentes - Ensino fundamental - 2009,69,Docentes
Docentes - Ensino médio - 2009,23,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,84,pessoas
Receitas orçamentárias realizadas - Correntes,1147800282,Reais
Despesas orçamentárias empenhadas - Correntes,969379603,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,410,Unidades
Pessoal ocupado total,2030,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

