BOA VISTA DO CADEADO  código:430222

Descrição,Valor,Unidade
Total de endereços urbanos,270,endereços
Total de endereços rurais,841,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,810,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,524,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,802,domicílios
População residente ,2441,pessoas
População residente - Homens,1257,pessoas
População residente - Mulheres,1184,pessoas
População residente alfabetizada,2192,pessoas
População residente - cor ou raça - Branca,2223,pessoas
População residente - cor ou raça - Preta,39,pessoas
População residente - cor ou raça - Parda,166,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,60,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,701.105,Km²
Eleitorado,1869,Eleitores
PIB per capita a preços correntes,39485.29,Reais
Matrícula - Ensino fundamental - 2009,336,Matrículas
Matrícula - Ensino médio - 2009,70,Matrículas
Docentes - Ensino fundamental - 2009,33,Docentes
Docentes - Ensino médio - 2009,6,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,913867569,Reais
Despesas orçamentárias empenhadas - Correntes,647478046,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,37,Unidades
Pessoal ocupado total,266,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

