BOA VISTA DO INCRA  código:430223

Descrição,Valor,Unidade
Total de endereços urbanos,363,endereços
Total de endereços rurais,704,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,777,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,597,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,773,domicílios
População residente ,2425,pessoas
População residente - Homens,1243,pessoas
População residente - Mulheres,1182,pessoas
População residente alfabetizada,2140,pessoas
População residente - cor ou raça - Branca,2206,pessoas
População residente - cor ou raça - Preta,26,pessoas
População residente - cor ou raça - Parda,192,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,65,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,503.473,Km²
Eleitorado,1941,Eleitores
PIB per capita a preços correntes,26741.49,Reais
Matrícula - Ensino fundamental - 2009,368,Matrículas
Matrícula - Ensino médio - 2009,107,Matrículas
Docentes - Ensino fundamental - 2009,33,Docentes
Docentes - Ensino médio - 2009,8,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,878813789,Reais
Despesas orçamentárias empenhadas - Correntes,729284161,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917556,Reais
Número de unidades locais,61,Unidades
Pessoal ocupado total,409,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

