BOA VISTA DO SUL  código:430225

Descrição,Valor,Unidade
Total de endereços urbanos,214,endereços
Total de endereços rurais,1037,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,915,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,678,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,914,domicílios
População residente ,2776,pessoas
População residente - Homens,1469,pessoas
População residente - Mulheres,1307,pessoas
População residente alfabetizada,2489,pessoas
População residente - cor ou raça - Branca,2745,pessoas
População residente - cor ou raça - Preta,6,pessoas
População residente - cor ou raça - Parda,25,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,72,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,94.349,Km²
Eleitorado,2295,Eleitores
PIB per capita a preços correntes,12710.16,Reais
Matrícula - Ensino fundamental - 2009,260,Matrículas
Matrícula - Ensino médio - 2009,116,Matrículas
Docentes - Ensino fundamental - 2009,30,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,1075787117,Reais
Despesas orçamentárias empenhadas - Correntes,764728261,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917558,Reais
Número de unidades locais,90,Unidades
Pessoal ocupado total,414,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

