BOM JESUS  código:430230

Descrição,Valor,Unidade
Total de endereços urbanos,4073,endereços
Total de endereços rurais,1541,endereços
Total de estabelecimentos de ensino,17,estabelecimentos
Total de estabelecimentos de saúde,19,estabelecimentos
Domicílios particulares permanentes,3827,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2780,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3794,domicílios
População residente ,11519,pessoas
População residente - Homens,5703,pessoas
População residente - Mulheres,5816,pessoas
População residente alfabetizada,9725,pessoas
População residente - cor ou raça - Branca,7685,pessoas
População residente - cor ou raça - Preta,571,pessoas
População residente - cor ou raça - Parda,3108,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,195,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,2625.695,Km²
Eleitorado,8462,Eleitores
PIB per capita a preços correntes,11467.71,Reais
Matrícula - Ensino fundamental - 2009,1933,Matrículas
Matrícula - Ensino médio - 2009,325,Matrículas
Docentes - Ensino fundamental - 2009,101,Docentes
Docentes - Ensino médio - 2009,25,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,195,pessoas
Receitas orçamentárias realizadas - Correntes,1755990913,Reais
Despesas orçamentárias empenhadas - Correntes,1551354599,Reais
Valor do Fundo de Participação dos Municípios  - FPM,533071692,Reais
Número de unidades locais,298,Unidades
Pessoal ocupado total,1785,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

