BOM PRINCÃ­PIO  código:430235

Descrição,Valor,Unidade
Total de endereços urbanos,4255,endereços
Total de endereços rurais,1089,endereços
Total de estabelecimentos de ensino,22,estabelecimentos
Total de estabelecimentos de saúde,23,estabelecimentos
Domicílios particulares permanentes,3848,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,3034,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3846,domicílios
População residente ,11789,pessoas
População residente - Homens,6029,pessoas
População residente - Mulheres,5760,pessoas
População residente alfabetizada,10840,pessoas
População residente - cor ou raça - Branca,11177,pessoas
População residente - cor ou raça - Preta,113,pessoas
População residente - cor ou raça - Parda,479,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,67,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,88.504,Km²
Eleitorado,7815,Eleitores
PIB per capita a preços correntes,16903.05,Reais
Matrícula - Ensino fundamental - 2009,1541,Matrículas
Matrícula - Ensino médio - 2009,341,Matrículas
Docentes - Ensino fundamental - 2009,94,Docentes
Docentes - Ensino médio - 2009,12,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,127,pessoas
Receitas orçamentárias realizadas - Correntes,1991755729,Reais
Despesas orçamentárias empenhadas - Correntes,1414724966,Reais
Valor do Fundo de Participação dos Municípios  - FPM,531906975,Reais
Número de unidades locais,597,Unidades
Pessoal ocupado total,5608,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

