BOM PROGRESSO  código:430237

Descrição,Valor,Unidade
Total de endereços urbanos,517,endereços
Total de endereços rurais,488,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,782,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,439,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,773,domicílios
População residente ,2328,pessoas
População residente - Homens,1167,pessoas
População residente - Mulheres,1161,pessoas
População residente alfabetizada,1995,pessoas
População residente - cor ou raça - Branca,1931,pessoas
População residente - cor ou raça - Preta,41,pessoas
População residente - cor ou raça - Parda,355,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,103,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,88.742,Km²
Eleitorado,2035,Eleitores
PIB per capita a preços correntes,10481.90,Reais
Matrícula - Ensino fundamental - 2009,377,Matrículas
Matrícula - Ensino médio - 2009,203,Matrículas
Docentes - Ensino fundamental - 2009,46,Docentes
Docentes - Ensino médio - 2009,24,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,676297038,Reais
Despesas orçamentárias empenhadas - Correntes,562804478,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,57,Unidades
Pessoal ocupado total,296,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

