BOQUEIRÃ£O DO LEÃ£O  código:430245

Descrição,Valor,Unidade
Total de endereços urbanos,974,endereços
Total de endereços rurais,2725,endereços
Total de estabelecimentos de ensino,27,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,2467,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1096,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2461,domicílios
População residente ,7673,pessoas
População residente - Homens,3937,pessoas
População residente - Mulheres,3736,pessoas
População residente alfabetizada,6339,pessoas
População residente - cor ou raça - Branca,5877,pessoas
População residente - cor ou raça - Preta,129,pessoas
População residente - cor ou raça - Parda,1649,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,136,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,265.428,Km²
Eleitorado,6146,Eleitores
PIB per capita a preços correntes,9672.77,Reais
Matrícula - Ensino fundamental - 2009,1351,Matrículas
Matrícula - Ensino médio - 2009,302,Matrículas
Docentes - Ensino fundamental - 2009,100,Docentes
Docentes - Ensino médio - 2009,22,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,130,pessoas
Receitas orçamentárias realizadas - Correntes,1139434651,Reais
Despesas orçamentárias empenhadas - Correntes,866050815,Reais
Valor do Fundo de Participação dos Municípios  - FPM,397718388,Reais
Número de unidades locais,396,Unidades
Pessoal ocupado total,801,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

