BOSSOROCA  código:430250

Descrição,Valor,Unidade
Total de endereços urbanos,1929,endereços
Total de endereços rurais,1539,endereços
Total de estabelecimentos de ensino,24,estabelecimentos
Total de estabelecimentos de saúde,10,estabelecimentos
Domicílios particulares permanentes,2382,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1826,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2368,domicílios
População residente ,6884,pessoas
População residente - Homens,3509,pessoas
População residente - Mulheres,3375,pessoas
População residente alfabetizada,5956,pessoas
População residente - cor ou raça - Branca,5179,pessoas
População residente - cor ou raça - Preta,628,pessoas
População residente - cor ou raça - Parda,818,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,225,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,6,pessoas
Área da unidade territorial,1610.580,Km²
Eleitorado,5781,Eleitores
PIB per capita a preços correntes,15425.24,Reais
Matrícula - Ensino fundamental - 2009,1141,Matrículas
Matrícula - Ensino médio - 2009,354,Matrículas
Docentes - Ensino fundamental - 2009,100,Docentes
Docentes - Ensino médio - 2009,34,Docentes
Estabelecimentos de Saúde SUS,11,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,56,pessoas
Receitas orçamentárias realizadas - Correntes,1347525891,Reais
Despesas orçamentárias empenhadas - Correntes,1180043063,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399803766,Reais
Número de unidades locais,224,Unidades
Pessoal ocupado total,712,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

