BOZANO  código:430258

Descrição,Valor,Unidade
Total de endereços urbanos,299,endereços
Total de endereços rurais,642,endereços
Total de estabelecimentos de ensino,7,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,702,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,531,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,698,domicílios
População residente ,2200,pessoas
População residente - Homens,1100,pessoas
População residente - Mulheres,1100,pessoas
População residente alfabetizada,1961,pessoas
População residente - cor ou raça - Branca,1963,pessoas
População residente - cor ou raça - Preta,92,pessoas
População residente - cor ou raça - Parda,136,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,43,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,201.040,Km²
Eleitorado,1948,Eleitores
PIB per capita a preços correntes,15535.77,Reais
Matrícula - Ensino fundamental - 2009,253,Matrículas
Matrícula - Ensino médio - 2009,48,Matrículas
Docentes - Ensino fundamental - 2009,23,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,11,pessoas
Receitas orçamentárias realizadas - Correntes,705519552,Reais
Despesas orçamentárias empenhadas - Correntes,480067166,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,45,Unidades
Pessoal ocupado total,155,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

