BRAGA  código:430260

Descrição,Valor,Unidade
Total de endereços urbanos,972,endereços
Total de endereços rurais,564,endereços
Total de estabelecimentos de ensino,10,estabelecimentos
Total de estabelecimentos de saúde,6,estabelecimentos
Domicílios particulares permanentes,1211,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,833,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1194,domicílios
População residente ,3702,pessoas
População residente - Homens,1866,pessoas
População residente - Mulheres,1836,pessoas
População residente alfabetizada,2966,pessoas
População residente - cor ou raça - Branca,2684,pessoas
População residente - cor ou raça - Preta,125,pessoas
População residente - cor ou raça - Parda,869,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,182,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,128.993,Km²
Eleitorado,2799,Eleitores
PIB per capita a preços correntes,9949.64,Reais
Matrícula - Ensino fundamental - 2009,605,Matrículas
Matrícula - Ensino médio - 2009,161,Matrículas
Docentes - Ensino fundamental - 2009,48,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,50,pessoas
Receitas orçamentárias realizadas - Correntes,796141387,Reais
Despesas orçamentárias empenhadas - Correntes,588970153,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,126,Unidades
Pessoal ocupado total,400,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

