BROCHIER  código:430265

Descrição,Valor,Unidade
Total de endereços urbanos,1220,endereços
Total de endereços rurais,1119,endereços
Total de estabelecimentos de ensino,13,estabelecimentos
Total de estabelecimentos de saúde,6,estabelecimentos
Domicílios particulares permanentes,1670,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1440,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1660,domicílios
População residente ,4675,pessoas
População residente - Homens,2398,pessoas
População residente - Mulheres,2277,pessoas
População residente alfabetizada,4289,pessoas
População residente - cor ou raça - Branca,4516,pessoas
População residente - cor ou raça - Preta,74,pessoas
População residente - cor ou raça - Parda,82,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,54,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,106.734,Km²
Eleitorado,3639,Eleitores
PIB per capita a preços correntes,10280.92,Reais
Matrícula - Ensino fundamental - 2009,566,Matrículas
Matrícula - Ensino médio - 2009,139,Matrículas
Docentes - Ensino fundamental - 2009,45,Docentes
Docentes - Ensino médio - 2009,13,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,50,pessoas
Receitas orçamentárias realizadas - Correntes,991525025,Reais
Despesas orçamentárias empenhadas - Correntes,748771964,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917627,Reais
Número de unidades locais,296,Unidades
Pessoal ocupado total,1030,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

