BUTIÃ¡  código:430270

Descrição,Valor,Unidade
Total de endereços urbanos,8115,endereços
Total de endereços rurais,670,endereços
Total de estabelecimentos de ensino,13,estabelecimentos
Total de estabelecimentos de saúde,20,estabelecimentos
Domicílios particulares permanentes,6746,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,6475,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,6717,domicílios
População residente ,20406,pessoas
População residente - Homens,10032,pessoas
População residente - Mulheres,10374,pessoas
População residente alfabetizada,17167,pessoas
População residente - cor ou raça - Branca,16410,pessoas
População residente - cor ou raça - Preta,1642,pessoas
População residente - cor ou raça - Parda,2260,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,431,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,7,pessoas
Área da unidade territorial,752.250,Km²
Eleitorado,15770,Eleitores
PIB per capita a preços correntes,11930.29,Reais
Matrícula - Ensino fundamental - 2009,3274,Matrículas
Matrícula - Ensino médio - 2009,876,Matrículas
Docentes - Ensino fundamental - 2009,200,Docentes
Docentes - Ensino médio - 2009,62,Docentes
Estabelecimentos de Saúde SUS,7,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,240,pessoas
Receitas orçamentárias realizadas - Correntes,2519067171,Reais
Despesas orçamentárias empenhadas - Correntes,2071565570,Reais
Valor do Fundo de Participação dos Municípios  - FPM,797835124,Reais
Número de unidades locais,677,Unidades
Pessoal ocupado total,3653,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

