CACEQUI  código:430290

Descrição,Valor,Unidade
Total de endereços urbanos,4920,endereços
Total de endereços rurais,994,endereços
Total de estabelecimentos de ensino,18,estabelecimentos
Total de estabelecimentos de saúde,7,estabelecimentos
Domicílios particulares permanentes,4493,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,3764,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,4454,domicílios
População residente ,13676,pessoas
População residente - Homens,6836,pessoas
População residente - Mulheres,6840,pessoas
População residente alfabetizada,11741,pessoas
População residente - cor ou raça - Branca,10716,pessoas
População residente - cor ou raça - Preta,716,pessoas
População residente - cor ou raça - Parda,2174,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,569,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,10,pessoas
Área da unidade territorial,2369.960,Km²
Eleitorado,11190,Eleitores
PIB per capita a preços correntes,11466.45,Reais
Matrícula - Ensino fundamental - 2009,1990,Matrículas
Matrícula - Ensino médio - 2009,535,Matrículas
Docentes - Ensino fundamental - 2009,151,Docentes
Docentes - Ensino médio - 2009,58,Docentes
Estabelecimentos de Saúde SUS,10,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,117,pessoas
Receitas orçamentárias realizadas - Correntes,1995437747,Reais
Despesas orçamentárias empenhadas - Correntes,1618667930,Reais
Valor do Fundo de Participação dos Municípios  - FPM,665593374,Reais
Número de unidades locais,325,Unidades
Pessoal ocupado total,1259,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

