CACHOEIRA DO SUL  código:430300

Descrição,Valor,Unidade
Total de endereços urbanos,31900,endereços
Total de endereços rurais,6728,endereços
Total de estabelecimentos de ensino,81,estabelecimentos
Total de estabelecimentos de saúde,139,estabelecimentos
Domicílios particulares permanentes,29374,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,25037,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,29236,domicílios
População residente ,83827,pessoas
População residente - Homens,40378,pessoas
População residente - Mulheres,43449,pessoas
População residente alfabetizada,72360,pessoas
População residente - cor ou raça - Branca,70547,pessoas
População residente - cor ou raça - Preta,6577,pessoas
População residente - cor ou raça - Parda,6411,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,1601,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,69,pessoas
Área da unidade territorial,3735.179,Km²
Eleitorado,67126,Eleitores
PIB per capita a preços correntes,12374.75,Reais
Matrícula - Ensino fundamental - 2009,11616,Matrículas
Matrícula - Ensino médio - 2009,2768,Matrículas
Docentes - Ensino fundamental - 2009,752,Docentes
Docentes - Ensino médio - 2009,214,Docentes
Estabelecimentos de Saúde SUS,38,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,1074,pessoas
Receitas orçamentárias realizadas - Correntes,9977023966,Reais
Despesas orçamentárias empenhadas - Correntes,8745896994,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1861615284,Reais
Número de unidades locais,2921,Unidades
Pessoal ocupado total,15245,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

