CACHOEIRINHA  código:430310

Descrição,Valor,Unidade
Total de endereços urbanos,47220,endereços
Total de endereços rurais,0,endereços
Total de estabelecimentos de ensino,63,estabelecimentos
Total de estabelecimentos de saúde,62,estabelecimentos
Domicílios particulares permanentes,38874,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,33262,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,38680,domicílios
População residente ,118278,pessoas
População residente - Homens,57173,pessoas
População residente - Mulheres,61105,pessoas
População residente alfabetizada,105273,pessoas
População residente - cor ou raça - Branca,102004,pessoas
População residente - cor ou raça - Preta,6876,pessoas
População residente - cor ou raça - Parda,8948,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,572,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,48,pessoas
Área da unidade territorial,44.018,Km²
Eleitorado,87022,Eleitores
PIB per capita a preços correntes,24229.41,Reais
Matrícula - Ensino fundamental - 2009,18637,Matrículas
Matrícula - Ensino médio - 2009,6001,Matrículas
Docentes - Ensino fundamental - 2009,856,Docentes
Docentes - Ensino médio - 2009,341,Docentes
Estabelecimentos de Saúde SUS,32,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,1601,pessoas
Receitas orçamentárias realizadas - Correntes,16566025208,Reais
Despesas orçamentárias empenhadas - Correntes,12773238468,Reais
Valor do Fundo de Participação dos Municípios  - FPM,2260532840,Reais
Número de unidades locais,5321,Unidades
Pessoal ocupado total,40800,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

