CACIQUE DOBLE  código:430320

Descrição,Valor,Unidade
Total de endereços urbanos,808,endereços
Total de endereços rurais,1043,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,1453,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,979,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1397,domicílios
População residente ,4868,pessoas
População residente - Homens,2417,pessoas
População residente - Mulheres,2451,pessoas
População residente alfabetizada,4072,pessoas
População residente - cor ou raça - Branca,3429,pessoas
População residente - cor ou raça - Preta,152,pessoas
População residente - cor ou raça - Parda,339,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,234,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,203.909,Km²
Eleitorado,3301,Eleitores
PIB per capita a preços correntes,10379.06,Reais
Matrícula - Ensino fundamental - 2009,757,Matrículas
Matrícula - Ensino médio - 2009,169,Matrículas
Docentes - Ensino fundamental - 2009,64,Docentes
Docentes - Ensino médio - 2009,17,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,49,pessoas
Receitas orçamentárias realizadas - Correntes,849110865,Reais
Despesas orçamentárias empenhadas - Correntes,642748616,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917857,Reais
Número de unidades locais,132,Unidades
Pessoal ocupado total,380,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

