CAMAQUÃ£  código:430350

Descrição,Valor,Unidade
Total de endereços urbanos,21086,endereços
Total de endereços rurais,5229,endereços
Total de estabelecimentos de ensino,57,estabelecimentos
Total de estabelecimentos de saúde,81,estabelecimentos
Domicílios particulares permanentes,20758,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,16326,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,20668,domicílios
População residente ,62764,pessoas
População residente - Homens,30900,pessoas
População residente - Mulheres,31864,pessoas
População residente alfabetizada,54112,pessoas
População residente - cor ou raça - Branca,54827,pessoas
População residente - cor ou raça - Preta,4443,pessoas
População residente - cor ou raça - Parda,3217,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,875,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,51,pessoas
Área da unidade territorial,1679.441,Km²
Eleitorado,47272,Eleitores
PIB per capita a preços correntes,14771.45,Reais
Matrícula - Ensino fundamental - 2009,9433,Matrículas
Matrícula - Ensino médio - 2009,2505,Matrículas
Docentes - Ensino fundamental - 2009,535,Docentes
Docentes - Ensino médio - 2009,147,Docentes
Estabelecimentos de Saúde SUS,35,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,1124,pessoas
Receitas orçamentárias realizadas - Correntes,7076586745,Reais
Despesas orçamentárias empenhadas - Correntes,6089929576,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1595329732,Reais
Número de unidades locais,2468,Unidades
Pessoal ocupado total,12080,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

