CAMARGO  código:430355

Descrição,Valor,Unidade
Total de endereços urbanos,543,endereços
Total de endereços rurais,596,endereços
Total de estabelecimentos de ensino,9,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,835,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,793,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,831,domicílios
População residente ,2592,pessoas
População residente - Homens,1291,pessoas
População residente - Mulheres,1301,pessoas
População residente alfabetizada,2219,pessoas
População residente - cor ou raça - Branca,2301,pessoas
População residente - cor ou raça - Preta,33,pessoas
População residente - cor ou raça - Parda,242,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,34,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,138.069,Km²
Eleitorado,2030,Eleitores
PIB per capita a preços correntes,21094.83,Reais
Matrícula - Ensino fundamental - 2009,357,Matrículas
Matrícula - Ensino médio - 2009,105,Matrículas
Docentes - Ensino fundamental - 2009,25,Docentes
Docentes - Ensino médio - 2009,13,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,12,pessoas
Receitas orçamentárias realizadas - Correntes,955300936,Reais
Despesas orçamentárias empenhadas - Correntes,658968805,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,105,Unidades
Pessoal ocupado total,371,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

