CAMPESTRE DA SERRA  código:430367

Descrição,Valor,Unidade
Total de endereços urbanos,628,endereços
Total de endereços rurais,1104,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,1101,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,445,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1098,domicílios
População residente ,3247,pessoas
População residente - Homens,1674,pessoas
População residente - Mulheres,1573,pessoas
População residente alfabetizada,2859,pessoas
População residente - cor ou raça - Branca,2710,pessoas
População residente - cor ou raça - Preta,54,pessoas
População residente - cor ou raça - Parda,470,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,32,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,538.002,Km²
Eleitorado,2661,Eleitores
PIB per capita a preços correntes,15804.30,Reais
Matrícula - Ensino fundamental - 2009,482,Matrículas
Matrícula - Ensino médio - 2009,118,Matrículas
Docentes - Ensino fundamental - 2009,42,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,919799453,Reais
Despesas orçamentárias empenhadas - Correntes,706271064,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,92,Unidades
Pessoal ocupado total,491,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

