CAMPINAS DO SUL  código:430380

Descrição,Valor,Unidade
Total de endereços urbanos,1975,endereços
Total de endereços rurais,611,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,12,estabelecimentos
Domicílios particulares permanentes,1882,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1675,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1879,domicílios
População residente ,5506,pessoas
População residente - Homens,2650,pessoas
População residente - Mulheres,2856,pessoas
População residente alfabetizada,4964,pessoas
População residente - cor ou raça - Branca,4693,pessoas
População residente - cor ou raça - Preta,91,pessoas
População residente - cor ou raça - Parda,694,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,108,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,276.163,Km²
Eleitorado,4507,Eleitores
PIB per capita a preços correntes,15224.69,Reais
Matrícula - Ensino fundamental - 2009,643,Matrículas
Matrícula - Ensino médio - 2009,196,Matrículas
Docentes - Ensino fundamental - 2009,43,Docentes
Docentes - Ensino médio - 2009,20,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,51,pessoas
Receitas orçamentárias realizadas - Correntes,1091991321,Reais
Despesas orçamentárias empenhadas - Correntes,886520014,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,307,Unidades
Pessoal ocupado total,968,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

