CAMPOS BORGES  código:430410

Descrição,Valor,Unidade
Total de endereços urbanos,1014,endereços
Total de endereços rurais,679,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,8,estabelecimentos
Domicílios particulares permanentes,1238,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,744,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1234,domicílios
População residente ,3494,pessoas
População residente - Homens,1754,pessoas
População residente - Mulheres,1740,pessoas
População residente alfabetizada,2981,pessoas
População residente - cor ou raça - Branca,3031,pessoas
População residente - cor ou raça - Preta,69,pessoas
População residente - cor ou raça - Parda,366,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,166,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,226.579,Km²
Eleitorado,2675,Eleitores
PIB per capita a preços correntes,11695.13,Reais
Matrícula - Ensino fundamental - 2009,517,Matrículas
Matrícula - Ensino médio - 2009,148,Matrículas
Docentes - Ensino fundamental - 2009,45,Docentes
Docentes - Ensino médio - 2009,15,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,11,pessoas
Receitas orçamentárias realizadas - Correntes,869795815,Reais
Despesas orçamentárias empenhadas - Correntes,644171177,Reais
Valor do Fundo de Participação dos Municípios  - FPM,396135956,Reais
Número de unidades locais,95,Unidades
Pessoal ocupado total,431,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

