CANDELÃ¡RIA  código:430420

Descrição,Valor,Unidade
Total de endereços urbanos,7110,endereços
Total de endereços rurais,6036,endereços
Total de estabelecimentos de ensino,51,estabelecimentos
Total de estabelecimentos de saúde,41,estabelecimentos
Domicílios particulares permanentes,10426,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,6138,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,10354,domicílios
População residente ,30171,pessoas
População residente - Homens,14752,pessoas
População residente - Mulheres,15419,pessoas
População residente alfabetizada,25407,pessoas
População residente - cor ou raça - Branca,25799,pessoas
População residente - cor ou raça - Preta,1246,pessoas
População residente - cor ou raça - Parda,3060,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,1014,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,11,pessoas
Área da unidade territorial,943.949,Km²
Eleitorado,22879,Eleitores
PIB per capita a preços correntes,11469.17,Reais
Matrícula - Ensino fundamental - 2009,4344,Matrículas
Matrícula - Ensino médio - 2009,836,Matrículas
Docentes - Ensino fundamental - 2009,249,Docentes
Docentes - Ensino médio - 2009,75,Docentes
Estabelecimentos de Saúde SUS,10,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,326,pessoas
Receitas orçamentárias realizadas - Correntes,3292931702,Reais
Despesas orçamentárias empenhadas - Correntes,2554666381,Reais
Valor do Fundo de Participação dos Municípios  - FPM,930807641,Reais
Número de unidades locais,923,Unidades
Pessoal ocupado total,4642,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

