CANDIOTA  código:430435

Descrição,Valor,Unidade
Total de endereços urbanos,1115,endereços
Total de endereços rurais,2860,endereços
Total de estabelecimentos de ensino,12,estabelecimentos
Total de estabelecimentos de saúde,10,estabelecimentos
Domicílios particulares permanentes,2827,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2092,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2804,domicílios
População residente ,8771,pessoas
População residente - Homens,4481,pessoas
População residente - Mulheres,4290,pessoas
População residente alfabetizada,7554,pessoas
População residente - cor ou raça - Branca,6662,pessoas
População residente - cor ou raça - Preta,675,pessoas
População residente - cor ou raça - Parda,1392,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,257,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,6,pessoas
Área da unidade territorial,933.839,Km²
Eleitorado,6289,Eleitores
PIB per capita a preços correntes,30705.10,Reais
Matrícula - Ensino fundamental - 2009,1635,Matrículas
Matrícula - Ensino médio - 2009,353,Matrículas
Docentes - Ensino fundamental - 2009,106,Docentes
Docentes - Ensino médio - 2009,23,Docentes
Estabelecimentos de Saúde SUS,8,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,94,pessoas
Receitas orçamentárias realizadas - Correntes,3136962635,Reais
Despesas orçamentárias empenhadas - Correntes,1862871472,Reais
Valor do Fundo de Participação dos Municípios  - FPM,413889486,Reais
Número de unidades locais,252,Unidades
Pessoal ocupado total,3388,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

