CANELA  código:430440

Descrição,Valor,Unidade
Total de endereços urbanos,17588,endereços
Total de endereços rurais,1507,endereços
Total de estabelecimentos de ensino,39,estabelecimentos
Total de estabelecimentos de saúde,41,estabelecimentos
Domicílios particulares permanentes,12931,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,12278,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,12903,domicílios
População residente ,39229,pessoas
População residente - Homens,19120,pessoas
População residente - Mulheres,20109,pessoas
População residente alfabetizada,34222,pessoas
População residente - cor ou raça - Branca,32129,pessoas
População residente - cor ou raça - Preta,1503,pessoas
População residente - cor ou raça - Parda,5194,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,482,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,30,pessoas
Área da unidade territorial,253.773,Km²
Eleitorado,25637,Eleitores
PIB per capita a preços correntes,8450.00,Reais
Matrícula - Ensino fundamental - 2009,6336,Matrículas
Matrícula - Ensino médio - 2009,1752,Matrículas
Docentes - Ensino fundamental - 2009,331,Docentes
Docentes - Ensino médio - 2009,115,Docentes
Estabelecimentos de Saúde SUS,12,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,453,pessoas
Receitas orçamentárias realizadas - Correntes,6017903774,Reais
Despesas orçamentárias empenhadas - Correntes,4834023834,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1190791035,Reais
Número de unidades locais,1989,Unidades
Pessoal ocupado total,9544,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

