CANGUÃ§U  código:430450

Descrição,Valor,Unidade
Total de endereços urbanos,9454,endereços
Total de endereços rurais,13676,endereços
Total de estabelecimentos de ensino,71,estabelecimentos
Total de estabelecimentos de saúde,68,estabelecimentos
Domicílios particulares permanentes,17565,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,6780,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,17433,domicílios
População residente ,53259,pessoas
População residente - Homens,26856,pessoas
População residente - Mulheres,26403,pessoas
População residente alfabetizada,45311,pessoas
População residente - cor ou raça - Branca,48260,pessoas
População residente - cor ou raça - Preta,2836,pessoas
População residente - cor ou raça - Parda,1895,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,2046,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,17,pessoas
Área da unidade territorial,3525.309,Km²
Eleitorado,42746,Eleitores
PIB per capita a preços correntes,8703.22,Reais
Matrícula - Ensino fundamental - 2009,7750,Matrículas
Matrícula - Ensino médio - 2009,1431,Matrículas
Docentes - Ensino fundamental - 2009,469,Docentes
Docentes - Ensino médio - 2009,95,Docentes
Estabelecimentos de Saúde SUS,36,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,585,pessoas
Receitas orçamentárias realizadas - Correntes,6240811868,Reais
Despesas orçamentárias empenhadas - Correntes,4792795949,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1465947147,Reais
Número de unidades locais,1335,Unidades
Pessoal ocupado total,4843,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

