CAPITÃ£O  código:430469

Descrição,Valor,Unidade
Total de endereços urbanos,521,endereços
Total de endereços rurais,713,endereços
Total de estabelecimentos de ensino,7,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,855,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,739,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,855,domicílios
População residente ,2636,pessoas
População residente - Homens,1353,pessoas
População residente - Mulheres,1283,pessoas
População residente alfabetizada,2332,pessoas
População residente - cor ou raça - Branca,2473,pessoas
População residente - cor ou raça - Preta,39,pessoas
População residente - cor ou raça - Parda,114,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,20,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,7,pessoas
Área da unidade territorial,73.967,Km²
Eleitorado,2311,Eleitores
PIB per capita a preços correntes,13266.29,Reais
Matrícula - Ensino fundamental - 2009,350,Matrículas
Matrícula - Ensino médio - 2009,104,Matrículas
Docentes - Ensino fundamental - 2009,34,Docentes
Docentes - Ensino médio - 2009,12,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,1022667086,Reais
Despesas orçamentárias empenhadas - Correntes,804296758,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917645,Reais
Número de unidades locais,110,Unidades
Pessoal ocupado total,588,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

