CAPIVARI DO SUL  código:430467

Descrição,Valor,Unidade
Total de endereços urbanos,1423,endereços
Total de endereços rurais,377,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,1275,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,809,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1264,domicílios
População residente ,3890,pessoas
População residente - Homens,1935,pessoas
População residente - Mulheres,1955,pessoas
População residente alfabetizada,3319,pessoas
População residente - cor ou raça - Branca,3032,pessoas
População residente - cor ou raça - Preta,403,pessoas
População residente - cor ou raça - Parda,427,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,46,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,6,pessoas
Área da unidade territorial,412.793,Km²
Eleitorado,2606,Eleitores
PIB per capita a preços correntes,29785.38,Reais
Matrícula - Ensino fundamental - 2009,611,Matrículas
Matrícula - Ensino médio - 2009,172,Matrículas
Docentes - Ensino fundamental - 2009,45,Docentes
Docentes - Ensino médio - 2009,15,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,987299126,Reais
Despesas orçamentárias empenhadas - Correntes,682869982,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,164,Unidades
Pessoal ocupado total,966,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

