CAPÃ£O BONITO DO SUL  código:430462

Descrição,Valor,Unidade
Total de endereços urbanos,306,endereços
Total de endereços rurais,687,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,613,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,208,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,610,domicílios
População residente ,1754,pessoas
População residente - Homens,943,pessoas
População residente - Mulheres,811,pessoas
População residente alfabetizada,1486,pessoas
População residente - cor ou raça - Branca,1590,pessoas
População residente - cor ou raça - Preta,30,pessoas
População residente - cor ou raça - Parda,131,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,39,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,527.120,Km²
Eleitorado,1543,Eleitores
PIB per capita a preços correntes,31219.24,Reais
Matrícula - Ensino fundamental - 2009,294,Matrículas
Matrícula - Ensino médio - 2009,64,Matrículas
Docentes - Ensino fundamental - 2009,33,Docentes
Docentes - Ensino médio - 2009,7,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,789120476,Reais
Despesas orçamentárias empenhadas - Correntes,634008350,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,42,Unidades
Pessoal ocupado total,132,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

