CAPÃ£O DA CANOA  código:430463

Descrição,Valor,Unidade
Total de endereços urbanos,43451,endereços
Total de endereços rurais,210,endereços
Total de estabelecimentos de ensino,30,estabelecimentos
Total de estabelecimentos de saúde,52,estabelecimentos
Domicílios particulares permanentes,13644,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,12215,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,13619,domicílios
População residente ,42040,pessoas
População residente - Homens,20616,pessoas
População residente - Mulheres,21424,pessoas
População residente alfabetizada,36583,pessoas
População residente - cor ou raça - Branca,36571,pessoas
População residente - cor ou raça - Preta,2196,pessoas
População residente - cor ou raça - Parda,3094,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,347,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,41,pessoas
Área da unidade territorial,97.100,Km²
Eleitorado,26052,Eleitores
PIB per capita a preços correntes,10732.50,Reais
Matrícula - Ensino fundamental - 2009,7578,Matrículas
Matrícula - Ensino médio - 2009,1671,Matrículas
Docentes - Ensino fundamental - 2009,381,Docentes
Docentes - Ensino médio - 2009,114,Docentes
Estabelecimentos de Saúde SUS,12,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,955,pessoas
Receitas orçamentárias realizadas - Correntes,7546946456,Reais
Despesas orçamentárias empenhadas - Correntes,5933276494,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1196785928,Reais
Número de unidades locais,3637,Unidades
Pessoal ocupado total,13567,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

