CAPÃ£O DO CIPÃ³  código:430465

Descrição,Valor,Unidade
Total de endereços urbanos,286,endereços
Total de endereços rurais,1105,endereços
Total de estabelecimentos de ensino,11,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,1029,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,580,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1027,domicílios
População residente ,3104,pessoas
População residente - Homens,1628,pessoas
População residente - Mulheres,1476,pessoas
População residente alfabetizada,2698,pessoas
População residente - cor ou raça - Branca,2422,pessoas
População residente - cor ou raça - Preta,120,pessoas
População residente - cor ou raça - Parda,549,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,170,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,6,pessoas
Área da unidade territorial,1008.654,Km²
Eleitorado,2452,Eleitores
PIB per capita a preços correntes,32196.60,Reais
Matrícula - Ensino fundamental - 2009,526,Matrículas
Matrícula - Ensino médio - 2009,115,Matrículas
Docentes - Ensino fundamental - 2009,46,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,994181642,Reais
Despesas orçamentárias empenhadas - Correntes,746829558,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917485,Reais
Número de unidades locais,79,Unidades
Pessoal ocupado total,290,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

