CAPÃ£O DO LEÃ£O  código:430466

Descrição,Valor,Unidade
Total de endereços urbanos,8856,endereços
Total de endereços rurais,967,endereços
Total de estabelecimentos de ensino,23,estabelecimentos
Total de estabelecimentos de saúde,11,estabelecimentos
Domicílios particulares permanentes,7831,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,6781,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,7789,domicílios
População residente ,24298,pessoas
População residente - Homens,11962,pessoas
População residente - Mulheres,12336,pessoas
População residente alfabetizada,20423,pessoas
População residente - cor ou raça - Branca,20131,pessoas
População residente - cor ou raça - Preta,2033,pessoas
População residente - cor ou raça - Parda,1960,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,484,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,785.377,Km²
Eleitorado,17018,Eleitores
PIB per capita a preços correntes,13013.26,Reais
Matrícula - Ensino fundamental - 2009,4118,Matrículas
Matrícula - Ensino médio - 2009,721,Matrículas
Docentes - Ensino fundamental - 2009,248,Docentes
Docentes - Ensino médio - 2009,28,Docentes
Estabelecimentos de Saúde SUS,11,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,161,pessoas
Receitas orçamentárias realizadas - Correntes,3088082077,Reais
Despesas orçamentárias empenhadas - Correntes,2528505174,Reais
Valor do Fundo de Participação dos Municípios  - FPM,927600534,Reais
Número de unidades locais,517,Unidades
Pessoal ocupado total,4526,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

