CARAZINHO  código:430470

Descrição,Valor,Unidade
Total de endereços urbanos,24065,endereços
Total de endereços rurais,594,endereços
Total de estabelecimentos de ensino,50,estabelecimentos
Total de estabelecimentos de saúde,55,estabelecimentos
Domicílios particulares permanentes,20161,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,18571,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,20097,domicílios
População residente ,59317,pessoas
População residente - Homens,28280,pessoas
População residente - Mulheres,31037,pessoas
População residente alfabetizada,52749,pessoas
População residente - cor ou raça - Branca,51330,pessoas
População residente - cor ou raça - Preta,1845,pessoas
População residente - cor ou raça - Parda,5894,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,555,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,54,pessoas
Área da unidade territorial,665.094,Km²
Eleitorado,43793,Eleitores
PIB per capita a preços correntes,16039.27,Reais
Matrícula - Ensino fundamental - 2009,8535,Matrículas
Matrícula - Ensino médio - 2009,2518,Matrículas
Docentes - Ensino fundamental - 2009,423,Docentes
Docentes - Ensino médio - 2009,205,Docentes
Estabelecimentos de Saúde SUS,28,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,823,pessoas
Receitas orçamentárias realizadas - Correntes,8265976248,Reais
Despesas orçamentárias empenhadas - Correntes,7624907504,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1462697718,Reais
Número de unidades locais,2668,Unidades
Pessoal ocupado total,14612,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

