CASCA  código:430490

Descrição,Valor,Unidade
Total de endereços urbanos,2517,endereços
Total de endereços rurais,1399,endereços
Total de estabelecimentos de ensino,15,estabelecimentos
Total de estabelecimentos de saúde,16,estabelecimentos
Domicílios particulares permanentes,2813,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2520,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2809,domicílios
População residente ,8651,pessoas
População residente - Homens,4243,pessoas
População residente - Mulheres,4408,pessoas
População residente alfabetizada,7919,pessoas
População residente - cor ou raça - Branca,7988,pessoas
População residente - cor ou raça - Preta,124,pessoas
População residente - cor ou raça - Parda,517,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,53,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,12,pessoas
Área da unidade territorial,271.747,Km²
Eleitorado,6782,Eleitores
PIB per capita a preços correntes,23924.00,Reais
Matrícula - Ensino fundamental - 2009,990,Matrículas
Matrícula - Ensino médio - 2009,272,Matrículas
Docentes - Ensino fundamental - 2009,74,Docentes
Docentes - Ensino médio - 2009,18,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,99,pessoas
Receitas orçamentárias realizadas - Correntes,1447335606,Reais
Despesas orçamentárias empenhadas - Correntes,1129685652,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,654,Unidades
Pessoal ocupado total,2982,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

