CATUÃ­PE  código:430500

Descrição,Valor,Unidade
Total de endereços urbanos,2614,endereços
Total de endereços rurais,1398,endereços
Total de estabelecimentos de ensino,14,estabelecimentos
Total de estabelecimentos de saúde,8,estabelecimentos
Domicílios particulares permanentes,3176,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2971,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3161,domicílios
População residente ,9323,pessoas
População residente - Homens,4590,pessoas
População residente - Mulheres,4733,pessoas
População residente alfabetizada,8298,pessoas
População residente - cor ou raça - Branca,7924,pessoas
População residente - cor ou raça - Preta,236,pessoas
População residente - cor ou raça - Parda,1119,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,266,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,12,pessoas
Área da unidade territorial,583.260,Km²
Eleitorado,8021,Eleitores
PIB per capita a preços correntes,16357.15,Reais
Matrícula - Ensino fundamental - 2009,1189,Matrículas
Matrícula - Ensino médio - 2009,329,Matrículas
Docentes - Ensino fundamental - 2009,103,Docentes
Docentes - Ensino médio - 2009,27,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,94,pessoas
Receitas orçamentárias realizadas - Correntes,1325459177,Reais
Despesas orçamentárias empenhadas - Correntes,659645064,Reais
Valor do Fundo de Participação dos Municípios  - FPM,396739182,Reais
Número de unidades locais,340,Unidades
Pessoal ocupado total,1203,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

